Topic,Count,Name,Representation,Representative_Docs
144,28,144_passover_unleavened_feast_disciples,"['passover', 'unleavened', 'feast', 'disciples', 'month', 'fourteenth', 'bread', 'prepare', 'guestchamber', 'ready']","['22:7 Then came the day of unleavened bread, when the passover must be killed.', '35:17 And the children of Israel that were present kept the passover at that time, and the feast of unleavened bread seven days.', '26:17 Now the first day of the feast of unleavened bread the disciples came to Jesus, saying unto him, Where wilt thou that we prepare for thee to eat the passover?  26:18 And he said, Go into the city to such a man, and say unto him, The Master saith, My time is at hand; I will keep the passover at thy house with my disciples.']"
145,28,145_49_saith_edom_bring,"['49', 'saith', 'edom', 'bring', 'gather', 'prey', 'thee', 'lift', 'excellency', 'shall']","['49:7 Concerning Edom, thus saith the LORD of hosts; Is wisdom no more in Teman? is counsel perished from the prudent? is their wisdom vanished?  49:8 Flee ye, turn back, dwell deep, O inhabitants of Dedan; for I will bring the calamity of Esau upon him, the time that I will visit him.', '49:4 Wherefore gloriest thou in the valleys, thy flowing valley, O backsliding daughter? that trusted in her treasures, saying, Who shall come unto me?  49:5 Behold, I will bring a fear upon thee, saith the Lord GOD of hosts, from all those that be about thee; and ye shall be driven out every man right forth; and none shall gather up him that wandereth.', '49:21 Then shalt thou say in thine heart, Who hath begotten me these, seeing I have lost my children, and am desolate, a captive, and removing to and fro? and who hath brought up these? Behold, I was left alone; these, where had they been?  49:22 Thus saith the Lord GOD, Behold, I will lift up mine hand to the Gentiles, and set up my standard to the people: and they shall bring thy sons in their arms, and thy daughters shall be carried upon their shoulders.']"
146,28,146_knightley_mr_john_foretell,"['knightley', 'mr', 'john', 'foretell', 'matches', '_you_', 'think', 'joke', 'do', 'goodnatured']","['""You are not vain, Mr. Knightley.  I will say that for you.""', '""Certainly, he is not like Mr. Knightley.  He has not such a fine air and way of walking as Mr. Knightley.  I see the difference plain enough.  But Mr. Knightley is so very fine a man!""', '""Mr. Knightley was there too, was he?""']"
147,28,147_peter_andrew_simon_james,"['peter', 'andrew', 'simon', 'james', 'joppa', 'surname', 'john', 'philip', '12', 'prison']","['4:18 And Jesus, walking by the sea of Galilee, saw two brethren, Simon called Peter, and Andrew his brother, casting a net into the sea: for they were fishers.', '10:2 Now the names of the twelve apostles are these; The first, Simon, who is called Peter, and Andrew his brother; James the son of Zebedee, and John his brother; 10:3 Philip, and Bartholomew; Thomas, and Matthew the publican; James the son of Alphaeus, and Lebbaeus, whose surname was Thaddaeus; 10:4 Simon the Canaanite, and Judas Iscariot, who also betrayed him.', ""1:40 One of the two which heard John speak, and followed him, was Andrew, Simon Peter's brother.""]"
148,27,148_boaz_naomi_ruth_glean,"['boaz', 'naomi', 'ruth', 'glean', 'reapers', 'moabitess', 'elimelech', 'kinsman', 'maidens', 'law']","['2:2 And Ruth the Moabitess said unto Naomi, Let me now go to the field, and glean ears of corn after him in whose sight I shall find grace.', ""2:1 And Naomi had a kinsman of her husband's, a mighty man of wealth, of the family of Elimelech; and his name was Boaz."", '4:5 Then said Boaz, What day thou buyest the field of the hand of Naomi, thou must buy it also of Ruth the Moabitess, the wife of the dead, to raise up the name of the dead upon his inheritance.']"
149,27,149_churches_receiveth_spirit_ear,"['churches', 'receiveth', 'spirit', 'ear', 'hear', 'hath', 'overcometh', 'scattereth', 'saith', 'let']","['3:13 He that hath an ear, let him hear what the Spirit saith unto the churches.', '2:29 He that hath an ear, let him hear what the Spirit saith unto the churches.', '3:6 He that hath an ear, let him hear what the Spirit saith unto the churches.']"
150,27,150_tabernacle_covering_skins_badgers,"['tabernacle', 'covering', 'skins', 'badgers', 'staves', '35', '40', 'vessels', 'tent', 'ark']","[""4:4 This shall be the service of the sons of Kohath in the tabernacle of the congregation, about the most holy things: 4:5 And when the camp setteth forward, Aaron shall come, and his sons, and they shall take down the covering vail, and cover the ark of testimony with it: 4:6 And shall put thereon the covering of badgers' skins, and shall spread over it a cloth wholly of blue, and shall put in the staves thereof."", ""35:10 And every wise hearted among you shall come, and make all that the LORD hath commanded; 35:11 The tabernacle, his tent, and his covering, his taches, and his boards, his bars, his pillars, and his sockets, 35:12 The ark, and the staves thereof, with the mercy seat, and the vail of the covering, 35:13 The table, and his staves, and all his vessels, and the shewbread, 35:14 The candlestick also for the light, and his furniture, and his lamps, with the oil for the light, 35:15 And the incense altar, and his staves, and the anointing oil, and the sweet incense, and the hanging for the door at the entering in of the tabernacle, 35:16 The altar of burnt offering, with his brasen grate, his staves, and all his vessels, the laver and his foot, 35:17 The hangings of the court, his pillars, and their sockets, and the hanging for the door of the court, 35:18 The pins of the tabernacle, and the pins of the court, and their cords, 35:19 The cloths of service, to do service in the holy place, the holy garments for Aaron the priest, and the garments of his sons, to minister in the priest's office."", ""39:33 And they brought the tabernacle unto Moses, the tent, and all his furniture, his taches, his boards, his bars, and his pillars, and his sockets, 39:34 And the covering of rams' skins dyed red, and the covering of badgers' skins, and the vail of the covering, 39:35 The ark of the testimony, and the staves thereof, and the mercy seat, 39:36 The table, and all the vessels thereof, and the shewbread, 39:37 The pure candlestick, with the lamps thereof, even with the lamps to be set in order, and all the vessels thereof, and the oil for light, 39:38 And the golden altar, and the anointing oil, and the sweet incense, and the hanging for the tabernacle door, 39:39 The brasen altar, and his grate of brass, his staves, and all his vessels, the laver and his foot, 39:40 The hangings of the court, his pillars, and his sockets, and the hanging for the court gate, his cords, and his pins, and all the vessels of the service of the tabernacle, for the tent of the congregation, 39:41 The cloths of service to do service in the holy place, and the holy garments for Aaron the priest, and his sons' garments, to minister in the priest's office.""]"
151,27,151_muscari_thieves_restaurant_brigand,"['muscari', 'thieves', 'restaurant', 'brigand', 'montano', 'courier', 'fortress', 'harrogate', 'ezza', 'road']","['All the time that he had been speaking, the dubious-looking men with carbines and dirty slouch hats had been gathering silently in such preponderating numbers that even Muscari was compelled to recognize his sally with the sword as hopeless.  He glanced around him; but the girl had already gone over to soothe and comfort her father, for her natural affection for his person was as strong or stronger than her somewhat snobbish pride in his success.  Muscari, with the illogicality of a lover, admired this filial devotion, and yet was irritated by it. He slapped his sword back in the scabbard and went and flung himself somewhat sulkily on one of the green banks.  The priest sat down within a yard or two, and Muscari turned his aquiline nose on him in an instantaneous irritation.', '""In short,"" said Muscari, ""to the real Paradise of Thieves.""', 'Muscari meanwhile, without waiting for support, had crested the bank up to the road, and struck the brigand king heavily on the shoulder, causing him to stagger and swing round.  Montano also had his cutlass unsheathed, and Muscari, without further speech, sent a slash at his head which he was compelled to catch and parry. But even as the two short blades crossed and clashed the King of Thieves deliberately dropped his point and laughed.']"
152,27,152_repaired_son_thereof_ruler,"['repaired', 'son', 'thereof', 'ruler', 'next', 'gate', 'locks', 'eliashib', 'bars', 'piece']","['3:30 After him repaired Hananiah the son of Shelemiah, and Hanun the sixth son of Zalaph, another piece. After him repaired Meshullam the son of Berechiah over against his chamber.', '3:17 After him repaired the Levites, Rehum the son of Bani. Next unto him repaired Hashabiah, the ruler of the half part of Keilah, in his part.', '3:4 And next unto them repaired Meremoth the son of Urijah, the son of Koz. And next unto them repaired Meshullam the son of Berechiah, the son of Meshezabeel. And next unto them repaired Zadok the son of Baana.']"
153,27,153_haue_st_soule_vpon,"['haue', 'st', 'soule', 'vpon', 'euen', 'th', 'selfe', 'sleepe', 'doe', 'ile']","[""Ham. Nay, do not thinke I flatter: For what aduancement may I hope from thee, That no Reuennew hast, but thy good spirits To feed & cloath thee. Why shold the poor be flatter'd? No, let the Candied tongue, like absurd pompe, And crooke the pregnant Hindges of the knee, Where thrift may follow faining? Dost thou heare, Since my deere Soule was Mistris of my choyse, And could of men distinguish, her election Hath seal'd thee for her selfe. For thou hast bene As one in suffering all, that suffers nothing. A man that Fortunes buffets, and Rewards Hath 'tane with equall Thankes. And blest are those, Whose Blood and Iudgement are so well co-mingled, That they are not a Pipe for Fortunes finger. To sound what stop she please. Giue me that man, That is not Passions Slaue, and I will weare him In my hearts Core. I, in my Heart of heart, As I do thee. Something too much of this. There is a Play to night to before the King. One Scoene of it comes neere the Circumstance Which I haue told thee, of my Fathers death. I prythee, when thou see'st that Acte a-foot, Euen with the verie Comment of my Soule Obserue mine Vnkle: If his occulted guilt, Do not it selfe vnkennell in one speech, It is a damned Ghost that we haue seene: And my Imaginations are as foule As Vulcans Stythe. Giue him needfull note, For I mine eyes will riuet to his Face: And after we will both our iudgements ioyne, To censure of his seeming"", ""Lady. They met me in the day of successe: and I haue learn'd by the perfect'st report, they haue more in them, then mortall knowledge. When I burnt in desire to question them further, they made themselues Ayre, into which they vanish'd. Whiles I stood rapt in the wonder of it, came Missiues from the King, who all-hail'd me Thane of Cawdor, by which Title before, these weyward Sisters saluted me, and referr'd me to the comming on of time, with haile King that shalt be. This haue I thought good to deliuer thee (my dearest Partner of Greatnesse) that thou might'st not loose the dues of reioycing by being ignorant of what Greatnesse is promis'd thee. Lay it to thy heart and farewell. Glamys thou art, and Cawdor, and shalt be What thou art promis'd: yet doe I feare thy Nature, It is too full o'th' Milke of humane kindnesse, To catch the neerest way. Thou would'st be great, Art not without Ambition, but without The illnesse should attend it. What thou would'st highly, That would'st thou holily: would'st not play false, And yet would'st wrongly winne. Thould'st haue, great Glamys, that which cryes, Thus thou must doe, if thou haue it; And that which rather thou do'st feare to doe, Then wishest should be vndone. High thee hither, That I may powre my Spirits in thine Eare, And chastise with the valour of my Tongue All that impeides thee from the Golden Round, Which Fate and Metaphysicall ayde doth seeme To haue thee crown'd withall. Enter Messenger."", ""Ham. I so, God buy'ye: Now I am alone. Oh what a Rogue and Pesant slaue am I? Is it not monstrous that this Player heere, But in a Fixion, in a dreame of Passion, Could force his soule so to his whole conceit, That from her working, all his visage warm'd; Teares in his eyes, distraction in's Aspect, A broken voyce, and his whole Function suiting With Formes, to his Conceit? And all for nothing? For Hecuba? What's Hecuba to him, or he to Hecuba, That he should weepe for her? What would he doe, Had he the Motiue and the Cue for passion That I haue? He would drowne the Stage with teares, And cleaue the generall eare with horrid speech: Make mad the guilty, and apale the free, Confound the ignorant, and amaze indeed, The very faculty of Eyes and Eares. Yet I, A dull and muddy-metled Rascall, peake Like Iohn a-dreames, vnpregnant of my cause, And can say nothing: No, not for a King, Vpon whose property, and most deere life, A damn'd defeate was made. Am I a Coward? Who calles me Villaine? breakes my pate a-crosse? Pluckes off my Beard, and blowes it in my face? Tweakes me by'th' Nose? giues me the Lye i'th' Throate, As deepe as to the Lungs? Who does me this? Ha? Why I should take it: for it cannot be, But I am Pigeon-Liuer'd, and lacke Gall To make Oppression bitter, or ere this, I should haue fatted all the Region Kites With this Slaues Offall, bloudy: a Bawdy villaine, Remorselesse, Treacherous, Letcherous, kindles villaine! Oh Vengeance! Who? What an Asse am I? I sure, this is most braue, That I, the Sonne of the Deere murthered, Prompted to my Reuenge by Heauen, and Hell, Must (like a Whore) vnpacke my heart with words, And fall a Cursing like a very Drab. A Scullion? Fye vpon't: Foh. About my Braine. I haue heard, that guilty Creatures sitting at a Play, Haue by the very cunning of the Scoene, Bene strooke so to the soule, that presently They haue proclaim'd their Malefactions. For Murther, though it haue no tongue, will speake With most myraculous Organ. Ile haue these Players, Play something like the murder of my Father, Before mine Vnkle. Ile obserue his lookes, Ile rent him to the quicke: If he but blench I know my course. The Spirit that I haue seene May be the Diuell, and the Diuel hath power T' assume a pleasing shape, yea and perhaps Out of my Weaknesse, and my Melancholly, As he is very potent with such Spirits, Abuses me to damne me. Ile haue grounds More Relatiue then this: The Play's the thing, Wherein Ile catch the Conscience of the King.""]"
154,27,154_sabbath_seventh_convocation_work,"['sabbath', 'seventh', 'convocation', 'work', 'servile', 'day', 'six', 'holy', '23', 'therein']","['35:2 Six days shall work be done, but on the seventh day there shall be to you an holy day, a sabbath of rest to the LORD: whosoever doeth work therein shall be put to death.', '23:3 Six days shall work be done: but the seventh day is the sabbath of rest, an holy convocation; ye shall do no work therein: it is the sabbath of the LORD in all your dwellings.', '31:15 Six days may work be done; but in the seventh is the sabbath of rest, holy to the LORD: whosoever doeth any work in the sabbath day, he shall surely be put to death.']"
155,27,155_levites_priests_courses_cymbals,"['levites', 'priests', 'courses', 'cymbals', 'singers', 'psalteries', 'praise', 'david', 'harps', 'porters']","['8:14 And he appointed, according to the order of David his father, the courses of the priests to their service, and the Levites to their charges, to praise and minister before the priests, as the duty of every day required: the porters also by their courses at every gate: for so had David the man of God commanded.', ""35:10 So the service was prepared, and the priests stood in their place, and the Levites in their courses, according to the king's commandment."", '31:2 And Hezekiah appointed the courses of the priests and the Levites after their courses, every man according to his service, the priests and Levites for burnt offerings and for peace offerings, to minister, and to give thanks, and to praise in the gates of the tents of the LORD.']"
156,26,156_doctor_hutton_doctors_smiling,"['doctor', 'hutton', 'doctors', 'smiling', 'said', 'smile', 'oh', 'question', 'quite', 'socialist']","['""Oh, yes, sir,"" replied the doctor, smiling, ""I accept everything that you say.""', '""He\'s gone off his head,"" said the little Doctor, staring.', '""That is what I mean,"" said the doctor.']"
157,26,157_begat_lived_years_hundred,"['begat', 'lived', 'years', 'hundred', 'daughters', 'terah', 'enoch', 'lamech', 'nine', 'nahor']","['11:16 And Eber lived four and thirty years, and begat Peleg: 11:17 And Eber lived after he begat Peleg four hundred and thirty years, and begat sons and daughters.', '11:18 And Peleg lived thirty years, and begat Reu: 11:19 And Peleg lived after he begat Reu two hundred and nine years, and begat sons and daughters.', '11:24 And Nahor lived nine and twenty years, and begat Terah: 11:25 And Nahor lived after he begat Terah an hundred and nineteen years, and begat sons and daughters.']"
158,26,158_hatter_clock_tea_shouldn,"['hatter', 'clock', 'tea', 'shouldn', 'cloakes', 'time', 'liked', 'discouer', 'said', 'grumbled']","[""'Which is just the case with MINE,' said the Hatter."", ""'I keep them to sell,' the Hatter added as an explanation; 'I've none of my own. I'm a hatter.'"", ""'That I can't remember,' said the Hatter.""]"
159,26,159_marquis_president_secretary_meeting,"['marquis', 'president', 'secretary', 'meeting', 'professor', 'eustache', 'comrade', 'knife', 'deny', 'you']","['""So you sent the Marquis off, I understand,"" asked the Professor. ""Was it long ago? Shall we be in time to catch him?""', '""I had already arranged,"" he explained, ""to go to France for my lunch; but I am delighted to have someone to lunch with me. You see, I had to send that beast, the Marquis, over with his bomb, because the President had his eye on me, though God knows how. I\'ll tell you the story some day. It was perfectly choking. Whenever I tried to slip out of it I saw the President somewhere, smiling out of the bow-window of a club, or taking off his hat to me from the top of an omnibus. I tell you, you can say what you like, that fellow sold himself to the devil; he can be in six places at once.""', '""Of course, the Secretary of the branch told you everything that can be told. But the one thing that can never be told is the last notion of the President, for his notions grow like a tropical forest. So in case you don\'t know, I\'d better tell you that he is carrying out his notion of concealing ourselves by not concealing ourselves to the most extraordinary lengths just now. Originally, of course, we met in a cell underground, just as your branch does. Then Sunday made us take a private room at an ordinary restaurant. He said that if you didn\'t seem to be hiding nobody hunted you out. Well, he is the only man on earth, I know; but sometimes I really think that his huge brain is going a little mad in its old age. For now we flaunt ourselves before the public. We have our breakfast on a balcony--on a balcony, if you please--overlooking Leicester Square.""']"
160,26,160_malc_mal_vs_souldier,"['malc', 'mal', 'vs', 'souldier', 'haue', 'giuen', 'vpon', 'sorrow', 'leaue', 'griefe']","['Malc. My Countryman: but yet I know him not', 'Malc. We haue met with Foes That strike beside vs', 'Mal. Nor our strong Sorrow Vpon the foot of Motion']"
161,26,161_brandon_colonel_infirmity_ferrars,"['brandon', 'colonel', 'infirmity', 'ferrars', 'living', 'enough', 'owe', 'cap', 'mamma', 'setting']","['""You have been long acquainted with Colonel Brandon, have not you?""', '""Colonel Brandon give ME a living!--Can it be possible?""', '""Who is Colonel Brandon?  Is he a man of fortune?""']"
162,25,162_waters_month_noah_earth,"['waters', 'month', 'noah', 'earth', 'ark', 'dried', 'days', 'prevailed', 'forty', 'hundredth']","['8:6 And it came to pass at the end of forty days, that Noah opened the window of the ark which he had made: 8:7 And he sent forth a raven, which went forth to and fro, until the waters were dried up from off the earth.', '8:1 And God remembered Noah, and every living thing, and all the cattle that was with him in the ark: and God made a wind to pass over the earth, and the waters asswaged; 8:2 The fountains also of the deep and the windows of heaven were stopped, and the rain from heaven was restrained; 8:3 And the waters returned from off the earth continually: and after the end of the hundred and fifty days the waters were abated.', '8:13 And it came to pass in the six hundredth and first year, in the first month, the first day of the month, the waters were dried up from off the earth: and Noah removed the covering of the ark, and looked, and, behold, the face of the ground was dry.']"
163,25,163_joab_uriah_david_11,"['joab', 'uriah', 'david', '11', 'hittite', 'hadad', 'sent', 'servants', 'abishai', 'abner']","['11:17 And the men of the city went out, and fought with Joab: and there fell some of the people of the servants of David; and Uriah the Hittite died also.', '11:6 And David sent to Joab, saying, Send me Uriah the Hittite. And Joab sent Uriah to David.', '11:14 And it came to pass in the morning, that David wrote a letter to Joab, and sent it by the hand of Uriah.']"
164,25,164_hare_march_hatter_dormouse,"['hare', 'march', 'hatter', 'dormouse', 'alice', 'sh', 'butter', 'mad', 'raving', 'direction']","[""'Then you should say what you mean,' the March Hare went on."", ""'Why not?' said the March Hare."", ""'Nor I,' said the March Hare.""]"
165,25,165_jephthah_gilead_ammon_11,"['jephthah', 'gilead', 'ammon', '11', 'ephraimites', 'fight', 'children', 'mizpeh', 'elders', 'against']","[""11:7 And Jephthah said unto the elders of Gilead, Did not ye hate me, and expel me out of my father's house? and why are ye come unto me now when ye are in distress?  11:8 And the elders of Gilead said unto Jephthah, Therefore we turn again to thee now, that thou mayest go with us, and fight against the children of Ammon, and be our head over all the inhabitants of Gilead."", '11:9 And Jephthah said unto the elders of Gilead, If ye bring me home again to fight against the children of Ammon, and the LORD deliver them before me, shall I be your head?  11:10 And the elders of Gilead said unto Jephthah, The LORD be witness between us, if we do not so according to thy words.', '11:5 And it was so, that when the children of Ammon made war against Israel, the elders of Gilead went to fetch Jephthah out of the land of Tob: 11:6 And they said unto Jephthah, Come, and be our captain, that we may fight with the children of Ammon.']"
166,25,166_136_endureth_mercy_ever,"['136', 'endureth', 'mercy', 'ever', 'for', 'heritage', 'stretched', 'upholden', 'rule', 'his']","['136:8 The sun to rule by day: for his mercy endureth for ever:', '136:11 And brought out Israel from among them: for his mercy endureth for ever:', '136:14 And made Israel to pass through the midst of it: for his mercy endureth for ever:']"
167,24,167_marianne_elinor_willoughby_sister,"['marianne', 'elinor', 'willoughby', 'sister', 'her', 'barton', 'mother', 'she', 'within', 'could']","['""So my daughter Middleton told me, for it seems Sir John met him somewhere in the street this morning."" Marianne said no more, but looked exceedingly hurt. Impatient in this situation to be doing something that might lead to her sister\'s relief, Elinor resolved to write the next morning to her mother, and hoped by awakening her fears for the health of Marianne, to procure those inquiries which had been so long delayed; and she was still more eagerly bent on this measure by perceiving after breakfast on the morrow, that Marianne was again writing to Willoughby, for she could not suppose it to be to any other person.', ""When at last she returned to the unconscious Marianne, she found her just awaking, refreshed by so long and sweet a sleep to the extent of her hopes.  Elinor's heart was full. The past, the present, the future, Willoughby's visit, Marianne's safety, and her mother's expected arrival, threw her altogether into an agitation of spirits which kept off every indication of fatigue, and made her only fearful of betraying herself to her sister. Short was the time, however, in which that fear could affect her, for within half an hour after Willoughby's leaving the house, she was again called down stairs by the sound of another carriage.--Eager to save her mother from every unnecessary moment's horrible suspense, she ran immediately into the hall, and reached the outward door just in time to receive and support her as she entered it."", 'Her letter was scarcely finished, when a rap foretold a visitor, and Colonel Brandon was announced. Marianne, who had seen him from the window, and who hated company of any kind, left the room before he entered it. He looked more than usually grave, and though expressing satisfaction at finding Miss Dashwood alone, as if he had somewhat in particular to tell her, sat for some time without saying a word.  Elinor, persuaded that he had some communication to make in which her sister was concerned, impatiently expected its opening. It was not the first time of her feeling the same kind of conviction; for, more than once before, beginning with the observation of ""your sister looks unwell to-day,"" or ""your sister seems out of spirits,"" he had appeared on the point, either of disclosing, or of inquiring, something particular about her.  After a pause of several minutes, their silence was broken, by his asking her in a voice of some agitation, when he was to congratulate her on the acquisition of a brother?  Elinor was not prepared for such a question, and having no answer ready, was obliged to adopt the simple and common expedient, of asking what he meant?  He tried to smile as he replied, ""your sister\'s engagement to Mr. Willoughby is very generally known.""']"
168,24,168_epistle_apostle_paul_saint,"['epistle', 'apostle', 'paul', 'saint', 'gospel', 'general', 'thessalonians', 'corinthians', 'second', 'john']","['The First Epistle of Paul the Apostle to Timothy', 'The Epistle of Paul the Apostle to the Hebrews', 'The Epistle of Paul the Apostle to the Romans']"
169,24,169_absalom_hushai_ahithophel_mule,"['absalom', 'hushai', 'ahithophel', 'mule', 'david', 'archite', 'geshur', 'came', 'king', 'counsel']","[""16:16 And it came to pass, when Hushai the Archite, David's friend, was come unto Absalom, that Hushai said unto Absalom, God save the king, God save the king."", '15:6 And on this manner did Absalom to all Israel that came to the king for judgment: so Absalom stole the hearts of the men of Israel.', '15:2 And Absalom rose up early, and stood beside the way of the gate: and it was so, that when any man that had a controversy came to the king for judgment, then Absalom called unto him, and said, Of what city art thou? And he said, Thy servant is of one of the tribes of Israel.']"
170,24,170_cain_abel_adam_created,"['cain', 'abel', 'adam', 'created', 'sevenfold', 'female', 'male', 'brother', 'slew', 'seth']","['4:4 And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering: 4:5 But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell.', '4:25 And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew.', '4:8 And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him.']"
171,24,171_turnbull_aperture_fell_stunned,"['turnbull', 'aperture', 'fell', 'stunned', 'towards', 'stranger', 'existence', 'seemed', 'swung', 'almost']","['Turnbull had concealed in him somewhere a fund of common sense and knowledge of the world of which he himself and his best friends were hardly aware.  He was one of those who take in much of the shows of things absent-mindedly, and in an irrelevant reverie.  As he stood at the door of his editorial shop on Ludgate Hill and meditated on the non-existence of God, he silently absorbed a good deal of varied knowledge about the existence of men.  He had come to know types by instinct and dilemmas with a glance; he saw the crux of the situation in the road, and what he saw made him redouble his pace.', 'Something in Turnbull made him want suddenly to be sick on the grass; the mere healthy and heathen horror of the unclean; the mere inhumane hatred of the inhuman state of madness.  He seemed to hear all round him the hateful whispers of that place, innumerable as leaves whispering in the wind, and each of them telling eagerly some evil that had not happened or some terrific secret which was not true.  All the rationalist and plain man revolted within him against bowing down for a moment in that forest of deception and egotistical darkness.  He wanted to blow up that palace of delusions with dynamite; and in some wild way, which I will not defend, he tried to do it.', 'Turnbull thrust his first finger down the aperture, and at last managed to make a slight further fissure in the piping.  The light that came up from beyond was very faint, and apparently indirect; it seemed to fall from some hole or window higher up.  As he was screwing his eye to peer at this grey and greasy twilight he was astonished to see another human finger very long and lean come down from above towards the broken pipe and hook it up to something higher.  The lighted aperture was abruptly blackened and blocked, presumably by a face and mouth, for something human spoke down the tube, though the words were not clear.']"
172,24,172_nakedness_uncover_daughter_shalt,"['nakedness', 'uncover', 'daughter', 'shalt', '18', 'father', 'sister', 'wife', 'thy', 'uncovered']","[""18:15 Thou shalt not uncover the nakedness of thy daughter in law: she is thy son's wife; thou shalt not uncover her nakedness."", '18:7 The nakedness of thy father, or the nakedness of thy mother, shalt thou not uncover: she is thy mother; thou shalt not uncover her nakedness.', ""18:8 The nakedness of thy father's wife shalt thou not uncover: it is thy father's nakedness.""]"
173,23,173_horns_horn_diverse_ten,"['horns', 'horn', 'diverse', 'ten', 'seven', 'kings', 'four', 'goat', 'beasts', 'stamped']","['7:8 I considered the horns, and, behold, there came up among them another little horn, before whom there were three of the first horns plucked up by the roots: and, behold, in this horn were eyes like the eyes of man, and a mouth speaking great things.', '7:7 After this I saw in the night visions, and behold a fourth beast, dreadful and terrible, and strong exceedingly; and it had great iron teeth: it devoured and brake in pieces, and stamped the residue with the feet of it: and it was diverse from all the beasts that were before it; and it had ten horns.', '7:19 Then I would know the truth of the fourth beast, which was diverse from all the others, exceeding dreadful, whose teeth were of iron, and his nails of brass; which devoured, brake in pieces, and stamped the residue with his feet; 7:20 And of the ten horns that were in his head, and of the other which came up, and before whom three fell; even of that horn that had eyes, and a mouth that spake very great things, whose look was more stout than his fellows.']"
174,23,174_31_household_her_hands,"['31', 'household', 'her', 'hands', 'she', 'clothing', 'husband', 'praiseth', 'distaff', 'coverings']","['31:21 She is not afraid of the snow for her household: for all her household are clothed with scarlet.', '31:31 Give her of the fruit of her hands; and let her own works praise her in the gates.', '31:12 She will do him good and not evil all the days of her life.']"
175,23,175_baskets_eat_filled_pot,"['baskets', 'eat', 'filled', 'pot', 'meat', 'fragments', 'spunge', 'took', 'pottage', 'vinegar']","['9:17 And they did eat, and were all filled: and there was taken up of fragments that remained to them twelve baskets.', '15:37 And they did all eat, and were filled: and they took up of the broken meat that was left seven baskets full.', '8:8 So they did eat, and were filled: and they took up of the broken meat that was left seven baskets.']"
176,22,176_horatio_ham_marcellus_barn,"['horatio', 'ham', 'marcellus', 'barn', 'ile', 'heauen', 'hora', 'thrift', 'hor', 'haue']","['Hor. & Mar. within. My Lord, my Lord. Enter Horatio and Marcellus.', 'Barn. Well, goodnight. If you do meet Horatio and Marcellus, the Riuals of my Watch, bid them make hast. Enter Horatio and Marcellus.', 'Ham. I am glad to see you well: Horatio, or I do forget my selfe']"
177,22,177_dormouse_treacle_twinkle_muchness,"['dormouse', 'treacle', 'twinkle', 'muchness', 'pinched', 'breathe', 'hatter', 'asleep', 'pinch', 'sleep']","[""'Then the Dormouse shall!' they both cried. 'Wake up, Dormouse!' And they pinched it on both sides at once."", ""'Of course they were', said the Dormouse; '--well in.'"", ""'So they were,' said the Dormouse; 'VERY ill.'""]"
178,22,178_micah_levite_teraphim_18,"['micah', 'levite', 'teraphim', '18', 'priest', 'dan', 'image', 'ephod', 'laish', 'bethlehemjudah']","['18:3 When they were by the house of Micah, they knew the voice of the young man the Levite: and they turned in thither, and said unto him, Who brought thee hither? and what makest thou in this place? and what hast thou here?  18:4 And he said unto them, Thus and thus dealeth Micah with me, and hath hired me, and I am his priest.', '17:13 Then said Micah, Now know I that the LORD will do me good, seeing I have a Levite to my priest.', '17:12 And Micah consecrated the Levite; and the young man became his priest, and was in the house of Micah.']"
179,22,179_jennings_mrs_business_civility,"['jennings', 'mrs', 'business', 'civility', 'colonel', 'should', 'intruded', 'froid', 'suitor', 'opportunity']","['""Come Colonel,"" said Mrs. Jennings, ""before you go, do let us know what you are going about.""', '""Well, sir,"" said Mrs. Jennings, ""and how did it end?""', '""He will not come in, as Mrs. Jennings is from home.""']"
180,22,180_weston_mrs_mr_pleasure,"['weston', 'mrs', 'mr', 'pleasure', 'think', 'improvement', 'do', 'quarrel', 'appears', 'lucky']","['""And have you never known the pleasure and triumph of a lucky guess?-- I pity you.--I thought you cleverer--for, depend upon it a lucky guess is never merely luck.  There is always some talent in it. And as to my poor word `success,\' which you quarrel with, I do not know that I am so entirely without any claim to it.  You have drawn two pretty pictures; but I think there may be a third--a something between the do-nothing and the do-all. If I had not promoted Mr. Weston\'s visits here, and given many little encouragements, and smoothed many little matters, it might not have come to any thing after all. I think you must know Hartfield enough to comprehend that.""', '""I can answer for every thing of that nature, sir, because it will be under Mrs. Weston\'s care.  Mrs. Weston undertakes to direct the whole.""', '""Oh yes!--there is a great difference.  But Mr. Weston is almost an old man.  Mr. Weston must be between forty and fifty.""']"
